Size, Mode, Time, L2_DCM, MFLOPS, CPI
128, IJK, 1180.8, 57763.8, 0.008, 0.43
128, IKJ, 1185.0, 59798.6, 0.010, 0.43
128, JIK, 2453.0, 74266.2, 2250.914, 0.46
128, JKI, 3025.4, 75530.6, 1921.318, 0.47
128, KIJ, 1180.0, 43004.4, 0.010, 0.43
128, KJI, 2950.0, 52602.4, 1916.302, 0.47
512, IJK, 69605.0, 2602566.8, 0.010, 0.42
512, IKJ, 68726.8, 2566165.2, 0.010, 0.42
512, JIK, 1032330.2, 2752833.4, 1635.456, 3.23
512, JKI, 1998909.0, 19176096.4, 2057.630, 5.00
512, KIJ, 77056.2, 7879508.0, 0.008, 0.46
512, KJI, 1976944.4, 18415288.6, 2070.890, 4.98
1024, IJK, 615530.2, 20494806.2, 0.010, 0.48
1024, IKJ, 625480.2, 21570864.6, 0.010, 0.48
1024, JIK, 9484867.0, 51412767.6, 1375.190, 3.73
1024, JKI, 18432011.8, 290394764.6, 2060.222, 5.85
1024, KIJ, 917145.0, 78785044.0, 0.010, 0.71
1024, KJI, 18380996.0, 352613772.6, 1984.264, 5.83
