Size, Mode, Time, L2_DCM, MFLOPS, CPI
128, IJK, 2328.4, 23315.6, 2505.984, 0.45
128, IKJ, 1148.0, 60899.4, 4924.554, 0.43
128, JIK, 2275.4, 73107.4, 2416.602, 0.46
128, JKI, 2888.4, 68470.0, 2009.924, 0.47
128, KIJ, 1140.4, 43748.0, 4227.710, 0.43
128, KJI, 2897.0, 50055.8, 1951.854, 0.47
512, IJK, 1013288.0, 17067141.6, 1937.120, 3.30
512, IKJ, 66925.8, 2476257.6, 5170.584, 0.41
512, JIK, 1020823.2, 2600910.6, 1659.448, 3.22
512, JKI, 1960534.6, 19045678.8, 2126.452, 4.99
512, KIJ, 75300.2, 7942061.2, 4770.238, 0.46
512, KJI, 1950122.6, 18215106.2, 2124.414, 4.97
1024, IJK, 9527464.4, 91163781.6, 1620.666, 3.80
1024, IKJ, 627804.0, 23053915.6, 4077.232, 0.48
1024, JIK, 9323631.2, 47415128.6, 1401.120, 3.73
1024, JKI, 18096589.8, 295045291.8, 2111.022, 5.85
1024, KIJ, 844605.2, 79738619.8, 3346.942, 0.67
1024, KJI, 18088030.8, 377899075.8, 2018.388, 5.83
