Size, Block, Time, L2_DCM, MFLOPS, CPI
128, 2, 1269.8, 23984.0, 3448.358, 0.41
128, 4, 2231.2, 11037.6, 1953.058, 0.54
128, 16, 1022.0, 12941.0, 4332.642, 0.37
128, 64, 1100.8, 6171.4, 4770.206, 0.38
512, 2, 77996.8, 758549.2, 3619.746, 0.41
512, 4, 142543.0, 367810.0, 1969.774, 0.53
512, 16, 67453.6, 503123.4, 4225.308, 0.37
512, 64, 62701.6, 539622.2, 5680.064, 0.35
1024, 2, 624740.6, 4379291.2, 3589.924, 0.41
1024, 4, 1159569.0, 1722046.0, 1937.998, 0.54
1024, 16, 519354.0, 2835113.6, 4346.932, 0.37
1024, 64, 487324.6, 2826953.2, 5375.268, 0.33
