Size, Mode, Time, L2_DCM, MFLOPS, CPI
128, IJK, 2296.0, 30720.8, 2541.476, 0.45
128, IKJ, 1217.4, 52699.4, 4644.762, 0.43
128, JIK, 2283.4, 65147.2, 2411.176, 0.46
128, JKI, 2940.2, 65014.6, 1972.994, 0.47
128, KIJ, 1143.8, 43128.8, 4199.338, 0.43
128, KJI, 2963.8, 54645.4, 1909.844, 0.47
512, IJK, 1034952.0, 17134397.4, 1866.768, 3.29
512, IKJ, 65857.2, 2488558.2, 5247.794, 0.41
512, JIK, 1020162.0, 2679476.4, 1657.918, 3.22
512, JKI, 1946646.8, 18970861.0, 2136.658, 4.99
512, KIJ, 72242.6, 7947405.4, 5022.500, 0.45
512, KJI, 1943300.8, 18098968.4, 2129.632, 4.97
1024, IJK, 9379871.2, 89582052.6, 1647.380, 3.79
1024, IKJ, 639567.6, 27410800.2, 4053.790, 0.49
1024, JIK, 9384713.4, 53961401.0, 1391.234, 3.73
1024, JKI, 18413863.2, 283493657.0, 2064.984, 5.84
1024, KIJ, 870798.6, 77637102.8, 3217.820, 0.68
1024, KJI, 18044042.4, 413583035.2, 2022.272, 5.84
