Size, Block, Time, L2_DCM, MFLOPS, CPI
128, 2, 1277.4, 21547.0, 3442.836, 0.41
128, 4, 2272.6, 10016.2, 1916.454, 0.54
128, 16, 1088.0, 12574.6, 4083.400, 0.37
128, 64, 1073.4, 6076.4, 4890.978, 0.37
512, 2, 76549.2, 723738.2, 3677.434, 0.41
512, 4, 141571.4, 360047.6, 1981.468, 0.53
512, 16, 68315.4, 476030.0, 4203.178, 0.37
512, 64, 62944.0, 549661.4, 5665.736, 0.35
1024, 2, 635263.8, 5170774.2, 3533.186, 0.42
1024, 4, 1169158.4, 1593589.4, 1920.372, 0.54
1024, 16, 518078.8, 2729243.0, 4356.296, 0.37
1024, 64, 472215.2, 2770415.0, 5546.164, 0.33
