col0;col1;col2
static,10;0.32988;91733.8
static,10;0.33176;74614.0
static,10;0.33134;88029.0
static,10;0.32966;75510.4
static,10;0.33428;71205.0
static,5;0.31546;109541.2
static,5;0.31296;84520.0
static,5;0.32362;75171.6
static,5;0.31866;98950.4
static,5;0.3142;91665.2
static,2;0.3227;90047.4
static,2;0.32234;71396.0
static,2;0.31538;76083.4
static,2;0.32002;81403.0
static,2;0.3272;72467.6
dynamic;0.28774;79895.4
dynamic;0.28714;97687.0
dynamic;0.28912;72925.4
dynamic;0.28558;81616.2
dynamic;0.28718;78508.2
guided;0.30054;113116.6
guided;0.29514;86411.8
guided;0.29678;72452.8
guided;0.29478;76879.2
guided;0.29384;101599.0
